Cell_Type,Phase Volume,Phase_Variance,Phase_Surface_Area_to_Volume_Ratio,Phase_Skewness,Dry_Mass,Phase_Sphericity_Index,Phase_Surface_Area_to_Dry_Mass_Ratio,Mean_OPD,Projected_Area_To_Volume,Phase_Kurtosis,Energy,Median_OPD,Phase_Surface_Area,Density
Hek,31887.175171820727,2965.1933052017052,0.1953398330495335,-0.2997046187079171,159435.87585910363,0.7807068017628008,0.0390679666099067,462.13297350464825,0.0021638793536335,3.3082939583170883,201633.14475371595,463.4402641472729,6228.835474484693,2310.664867523241
Hek,16983.42818386565,1683.783255322712,0.2761631483836391,1.2326294647631548,84917.14091932825,0.6812553819316569,0.0552326296767278,217.73625876750833,0.0045927123284862,7.228493511032585,129651.31065984882,217.2707809702656,4690.196997603769,1088.6812938375415
Hek,245100.2768223344,2301.076896953726,0.256124228416033,-1.367970836371259,1225501.384111672,0.3017070979465596,0.0512248456832066,256.38104270118663,0.0039004443911459,9.479732525127044,2197528.4365908084,263.48014127670183,62776.11928567649,1281.905213505933
Hek,61671.33509847847,614.5885920225111,0.2356522154747456,-0.7227279842204934,308356.6754923923,0.5194193772823519,0.0471304430949491,244.72752023205743,0.0040861771453074,3.80733931562312,154261.73659765028,246.7124888148087,14532.986747241896,1223.637601160287
Hek,295866.0887490314,3458.1714528904504,0.7323105901608653,-0.207024757151966,1479330.443745157,0.099103824135293,0.146462118032173,77.59404373171556,0.0128875871382285,2.1587931980801045,13182549.578418396,83.90842161311878,216665.87006039015,387.9702186585778
Hek,34383.91784152894,405.3044952930435,0.1801321982530886,-0.1326442662481294,171919.5892076447,0.8256088164596446,0.0360264396506177,235.50628658581468,0.0042461711510856,2.505855537363504,58769.15181749131,235.62945711558177,6193.650705348204,1177.5314329290734
Hek,220315.43795546648,1438.3526670061624,0.2735349419236882,1.0174420184503008,1101577.1897773324,0.2927226552211029,0.0547069883847376,235.88376654760864,0.0042393760903345,3.651403716324221,1341983.0383167495,225.37674087585967,60263.97052604047,1179.4188327380432
Hek,159651.48334677832,1346.5558833038187,0.8297813597573124,0.0853088397045233,798257.4167338916,0.1074309618068947,0.1659562719514624,85.37512478437343,0.0117130136269274,4.265963664651258,2516712.9458948374,84.80804771035814,132475.82493876162,426.8756239218671
Hek,58024.12139278108,1983.6008445989069,3.2623348245847237,0.2177703601195182,290120.6069639054,0.0382900618635164,0.6524669649169448,15.87961723940369,0.0629738100688346,2.7902205911653444,7246093.885319807,0.0,189294.1118856012,79.39808619701844
Hek,146252.72450720708,1581.8434283344095,0.3884105333663295,-1.2998695772143214,731263.6225360354,0.2363152799484527,0.0776821066732659,217.96233160537568,0.0045879487186369,5.516980307759348,1059835.0969840544,224.27738661569745,56806.09873212316,1089.8116580268784
Hek,166859.69100617175,3495.2659424154936,0.6735178793037249,-0.1860611843204677,834298.4550308587,0.1304220985015661,0.134703575860745,98.79200177985302,0.0101222769250934,2.002836537462517,5900008.910797353,96.80981517368404,112382.98522775162,493.9600088992651
Hek,352974.72473332967,9297.89590020854,1.1276687849067155,-0.2496980499771396,1764873.6236666483,0.0606812748417867,0.2255337569813431,92.04034543241974,0.0108648005969756,1.898735519173936,35648132.88139954,93.20031419734411,398038.5789428163,460.2017271620987
Hek,1546849.7228348174,6413.4188789567315,0.1397907729522682,-0.8569505534899744,7734248.614174087,0.2991274327089977,0.0279581545904536,588.6033952948316,0.0016989368528856,3.2763408995081784,16848051.395019334,602.5425411635737,216235.318396081,2943.0169764741577
Hek,171757.72981582064,2236.884154707991,0.9283353761973964,0.3816898489108697,858788.6490791031,0.09371457218264,0.1856670752394793,71.59555223669055,0.0139673480929941,3.1036419280250884,5364048.202989763,66.48890762363573,159448.77672338064,357.97776118345274
Hek,281833.61455270415,3394.9781496879423,0.9605562578798136,-0.3269707403440848,1409168.0727635208,0.0767886540331087,0.1921112515759627,81.69090276889976,0.012241265136082,2.4172161140836916,11709279.638273712,81.65461924782427,270717.0421394873,408.4545138444987
Hek,132585.95995890183,4041.8536898605944,1.2330808498190675,-0.0279159204294626,662929.7997945091,0.0769118738220287,0.2466161699638135,65.57169137433326,0.015250483540088,2.0384872594535355,8168586.307208261,57.479576078177445,163489.20818019952,327.85845687166625
Hek,150333.63374929296,3137.6419587328874,0.8484915637973808,-0.3763879012136,751668.1687464648,0.1071892447253398,0.1696983127594761,92.7985393514154,0.0107760316809851,3.202723149100928,5079842.331188545,91.03979634020824,127556.81999128028,463.992696757077
Hek,109801.88724383754,4039.6807918610666,2.682152887594594,-0.1994685646753779,549009.4362191877,0.0376528042473181,0.5364305775189188,40.69751195101466,0.0245715266624565,2.495490019154702,10895019.095649296,25.737199175236793,294505.44893439487,203.4875597550733
Hek,186975.4722606256,3128.035881824083,1.5494398416234842,0.2242555303314041,934877.361303128,0.0545818006825327,0.3098879683246968,38.38543877245445,0.0260515453770872,2.234451310343794,15233534.744483285,21.01226560241591,289707.2461269799,191.92719386227225
Hek,249101.7400461444,4484.438166441416,1.0124730567786404,0.1213730932494705,1245508.7002307218,0.0759116438094193,0.2024946113557281,59.8658351468744,0.016704018202479,1.938941837142896,18655262.77239629,50.11644189232226,252208.8001933981,299.329175734372
Hek,219445.916188773,3626.626459241312,1.0459425250330008,-0.9125260730140125,1097229.580943865,0.0766538200608475,0.2091885050066001,75.46283225198522,0.01325155669563,3.5419157740074327,10542603.117014494,82.49169260788588,229527.81568666548,377.3141612599261
